row_id,timestamp,animal_id,behavior,anomaly,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,heart_rate_bpm,temperature_c
57,01-01-2025 00:56,cow_18,walking,0,0.49,0.443,0.97,-9.58,2.35,0.35,80,39.24
58,01-01-2025 00:57,cow_12,grazing,0,0.002,-0.237,0.988,-0.29,-1.85,1.55,87,38.72
59,01-01-2025 00:58,cow_2,grazing,0,-0.218,0.465,1.038,-1.09,0.98,-0.53,70,37.52
60,01-01-2025 00:59,cow_10,grazing,0,0.034,-0.087,1.23,-0.48,-3.59,-0.74,70,38.58
61,01-01-2025 01:00,cow_4,ruminating,0,-0.208,0.157,1.309,-1.63,-6.38,6.63,87,38.13
62,01-01-2025 01:01,cow_14,ruminating,0,-0.141,0.072,1.096,-15.09,-1.44,1.37,64,38.26
63,01-01-2025 01:02,cow_16,grazing,0,0.3,0.294,0.584,-2.83,-7.24,0.65,67,38.7
64,01-01-2025 01:03,cow_15,ruminating,0,0.053,-0.24,0.82,-2.68,6.63,-9.54,65,38.06
65,01-01-2025 01:04,cow_8,grazing,0,0.181,0.616,0.714,-6.95,-3.27,3.93,70,38.79
66,01-01-2025 01:05,cow_14,resting,0,0.097,0.173,1.249,10.3,2.78,-11.59,74,39.22
67,01-01-2025 01:06,cow_8,drinking,0,-0.041,0.209,1.208,0.97,1.3,-5.02,80,38.61
68,01-01-2025 01:07,cow_16,grazing,0,-0.103,0.392,0.451,-0.07,5.68,4.46,71,39.94
69,01-01-2025 01:08,cow_13,grazing,0,0.294,0.138,1.031,2.69,-5.21,1.56,70,39.54
70,01-01-2025 01:09,cow_18,ruminating,0,-0.107,0.056,0.995,0.89,10.12,-2.91,76,39.3
71,01-01-2025 01:10,cow_15,resting,0,-0.028,0.168,1.022,5.45,-11.81,0.91,59,38.82
72,01-01-2025 01:11,cow_13,resting,0,-0.143,-0.038,1.162,3.64,-4.57,-5.05,72,37.75
73,01-01-2025 01:12,cow_9,grazing,0,0.196,-0.028,0.717,5.02,-5.15,-5.95,63,38.78
74,01-01-2025 01:13,cow_15,resting,0,-0.448,0.194,0.657,-9.82,0,-5.22,74,38.44
75,01-01-2025 01:14,cow_13,grazing,0,0.338,0.025,1.262,9,0.22,-0.22,62,38.99
76,01-01-2025 01:15,cow_1,grazing,0,-0.068,0.137,0.834,-1.52,-4.41,-11.43,74,38.5
77,01-01-2025 01:16,cow_7,resting,0,0.177,-0.483,0.891,-0.57,-2.77,-0.94,70,37.84
78,01-01-2025 01:17,cow_9,walking,0,0.456,0.487,0.625,2.43,4.47,2.01,76,37.78
79,01-01-2025 01:18,cow_1,grazing,0,-0.002,0.027,1.503,-2.95,5.11,6.36,75,39.22
80,01-01-2025 01:19,cow_12,resting,0,-0.086,0.104,0.866,-4.41,-3.74,-12.51,67,38.59
81,01-01-2025 01:20,cow_8,resting,0,-0.032,0.008,0.643,-0.6,-3.38,5.08,78,39.34
82,01-01-2025 01:21,cow_11,ruminating,0,0.004,0.182,1.174,-3.38,-0.53,0.86,74,39.17
83,01-01-2025 01:22,cow_19,grazing,0,-0.001,0.144,0.526,3.1,-2.82,-3.82,75,37.79
84,01-01-2025 01:23,cow_17,ruminating,0,-0.022,0.174,0.83,2.11,-0.57,7.02,62,38.33
85,01-01-2025 01:24,cow_8,resting,0,0.248,0.137,0.951,-0.48,4.37,8.82,66,37.54
86,01-01-2025 01:25,cow_3,grazing,0,0.301,0.143,1.02,-7.91,9.83,10.08,61,38.3
87,01-01-2025 01:26,cow_3,grazing,0,0.097,-0.279,1.049,6.95,5.17,-2.92,68,38.91
88,01-01-2025 01:27,cow_1,grazing,0,0.378,0.519,1.044,2.34,-4.89,3.74,78,38.47
89,01-01-2025 01:28,cow_5,grazing,0,-0.241,0.2,1.741,1.79,-5.97,-7.29,70,37.91
90,01-01-2025 01:29,cow_10,grazing,0,0.148,-0.09,0.736,-2.46,-2.6,-2.02,57,39.17
91,01-01-2025 01:30,cow_7,walking,0,0.512,-0.023,1.029,1.41,-0.92,6.05,75,38.47
92,01-01-2025 01:31,cow_9,grazing,0,0.075,0.289,0.783,9.31,-4.94,-1.63,83,38.46
93,01-01-2025 01:32,cow_7,grazing,0,0.325,-0.247,1.139,1.97,2.76,6.17,68,38.09
94,01-01-2025 01:33,cow_9,grazing,1,2.678,1.859,1.308,116.05,133.92,75.62,79,37.63
95,01-01-2025 01:34,cow_8,ruminating,0,-0.12,-0.065,1.225,-1.67,-3.25,-7.77,69,38.96
96,01-01-2025 01:35,cow_12,resting,0,0.14,-0.167,1.235,1.81,0.02,-0.62,85,38.58
97,01-01-2025 01:36,cow_2,grazing,0,0.172,-0.213,0.983,0.49,7.6,-5.41,86,38.51
98,01-01-2025 01:37,cow_1,resting,0,-0.143,0.184,0.88,3.02,0.66,9.92,75,39.08
99,01-01-2025 01:38,cow_16,grazing,0,0.151,0.195,0.544,0.11,8.62,1.36,78,37.57
100,01-01-2025 01:39,cow_5,grazing,0,-0.331,0.446,1.029,8.74,-3.13,5.68,62,37.98
101,01-01-2025 01:40,cow_3,grazing,0,0.348,-0.027,1.234,9.13,-2.96,1.2,67,37.53
102,01-01-2025 01:41,cow_12,resting,0,0.181,-0.105,1.038,3.75,9.24,-5.42,76,38.61
103,01-01-2025 01:42,cow_8,resting,0,-0.378,-0.268,1.072,-5.06,-7.36,-5.32,73,38.28
104,01-01-2025 01:43,cow_3,walking,0,0.298,0.692,0.865,2.62,4.06,-3.54,74,39
105,01-01-2025 01:44,cow_1,resting,0,0.017,-0.164,0.927,1.47,0.62,12.17,76,39.07
106,01-01-2025 01:45,cow_3,grazing,0,-0.265,-0.574,1.066,2.35,0.76,1.5,69,39.16
107,01-01-2025 01:46,cow_5,grazing,0,-0.328,-0.322,1.072,-12.35,4.22,-2.81,62,38.49
108,01-01-2025 01:47,cow_15,grazing,0,0.317,0.353,1.175,0.2,7.18,6.55,63,38.62
109,01-01-2025 01:48,cow_14,resting,0,-0.219,0.081,1.013,-0.19,-5.19,4.65,64,38.22
110,01-01-2025 01:49,cow_3,walking,0,0.099,0.03,1.311,1.72,-3.56,3.06,66,38.27
111,01-01-2025 01:50,cow_1,ruminating,0,0.021,0.182,0.814,3.6,5.32,-2.11,54,38.37
112,01-01-2025 01:51,cow_5,resting,0,0.101,-0.181,1.558,-4.7,-8.63,4.32,63,39.13
113,01-01-2025 01:52,cow_14,resting,0,0.043,0.075,0.723,0.27,7.88,-4.97,88,38.64
114,01-01-2025 01:53,cow_7,grazing,0,-0.149,0.281,1.02,-1.37,-2.71,2.74,65,38.52
115,01-01-2025 01:54,cow_9,walking,0,0.614,0.239,0.971,-1.43,3.58,-0.77,61,39.42
116,01-01-2025 01:55,cow_15,walking,0,0.737,-0.069,0.906,-4.28,1.13,-7.71,65,39.04
117,01-01-2025 01:56,cow_15,drinking,0,0.046,0.417,1.193,1.1,0.5,4.63,79,37.93
118,01-01-2025 01:57,cow_10,grazing,0,0.162,0.01,1.197,-12.09,6.42,0.76,55,38.48
119,01-01-2025 01:58,cow_13,grazing,0,0.197,-0.037,1.047,1.27,2.11,-13.6,79,38.56
120,01-01-2025 01:59,cow_19,grazing,0,0.185,-0.102,1.068,-3.89,-2.43,0.69,79,37.87
121,01-01-2025 02:00,cow_7,grazing,0,0.164,0.067,1.271,-3.66,8.48,1.68,74,37.79
122,01-01-2025 02:01,cow_17,grazing,0,0.299,-0.092,0.968,3.28,1.73,3.29,80,38.92
123,01-01-2025 02:02,cow_20,ruminating,0,0.02,-0.133,0.923,2.68,9.49,6.89,69,38.29
124,01-01-2025 02:03,cow_4,resting,0,0.177,0.519,1.426,0.24,-3.07,-0.7,69,38.99
125,01-01-2025 02:04,cow_5,walking,0,0.226,-0.277,0.163,-7.16,1.35,6.3,65,39.15
126,01-01-2025 02:05,cow_7,grazing,0,0,-0.05,1.019,-5.27,-1.72,-0.03,76,38.2
127,01-01-2025 02:06,cow_13,grazing,0,0.209,-0.147,0.873,0.75,-0.4,-3.31,83,38.77
128,01-01-2025 02:07,cow_15,grazing,0,0.221,0.075,0.966,5.72,0.44,5.73,67,39.08
129,01-01-2025 02:08,cow_11,grazing,0,-0.057,0.233,0.909,10.89,0.16,-4.08,47,37.78
130,01-01-2025 02:09,cow_4,walking,0,0.83,0.522,0.677,6.27,-8.86,0.13,83,38.21
131,01-01-2025 02:10,cow_13,resting,0,0.397,-0.183,0.517,3.13,1.54,6.16,65,38.89
132,01-01-2025 02:11,cow_7,resting,0,-0.306,0.014,0.859,8.04,8.94,1.56,61,38.56
133,01-01-2025 02:12,cow_19,grazing,0,0.342,0.729,1.364,-4.13,-0.03,0.96,68,38.87
134,01-01-2025 02:13,cow_2,ruminating,0,-0.372,-0.492,1.254,2.92,5.53,-3.37,62,38.67
135,01-01-2025 02:14,cow_10,grazing,0,-0.032,0.314,0.996,1.79,-0.11,3.45,73,39.37
136,01-01-2025 02:15,cow_13,resting,0,0.148,-0.24,0.855,-0.15,0.98,9.82,82,38.14
137,01-01-2025 02:16,cow_6,resting,0,0.336,-0.166,1.068,5.91,-3.69,-7.52,76,38.59
138,01-01-2025 02:17,cow_12,resting,0,-0.048,0.008,1.058,-5.1,4.88,6.12,72,38.24
139,01-01-2025 02:18,cow_12,grazing,0,0.126,-0.11,1.771,-2.11,0.75,1.36,64,38.56
140,01-01-2025 02:19,cow_20,grazing,0,0.147,0.419,1.147,-4.3,-6.23,-3.32,73,39.65
141,01-01-2025 02:20,cow_11,resting,0,0.33,-0.325,1.071,1.44,-4.18,7.77,65,39.22
142,01-01-2025 02:21,cow_7,grazing,0,-0.069,0.242,0.984,4.67,5.15,-3.82,59,39.24
143,01-01-2025 02:22,cow_1,drinking,0,0.102,0.05,0.843,-7.63,0.74,-2.3,71,37.75
144,01-01-2025 02:23,cow_1,walking,0,0.572,0.389,1.277,-0.35,-3.83,5.21,62,38.59
145,01-01-2025 02:24,cow_20,walking,0,0.421,0.733,1.1,3.09,-2.7,3.33,72,39.05
146,01-01-2025 02:25,cow_13,walking,0,0.149,0.08,0.991,-6.39,-8.9,-3.65,65,38.62
147,01-01-2025 02:26,cow_9,ruminating,0,0.251,0.2,1.211,-4.05,-1.76,6.02,75,38.78
148,01-01-2025 02:27,cow_3,resting,0,0.266,-0.28,1.177,11.06,5.87,9.91,72,38.7
149,01-01-2025 02:28,cow_7,grazing,0,0.283,0.014,1.185,-1.96,4.07,-3.55,59,38.57
150,01-01-2025 02:29,cow_6,grazing,0,0.475,0.156,1.259,0.95,2.2,1.71,65,38.9
151,01-01-2025 02:30,cow_8,grazing,0,0.033,-0.062,0.688,5.68,-3.16,3.31,67,38.28
152,01-01-2025 02:31,cow_9,grazing,0,0.437,-0.049,1.299,3.83,-5.99,-0.86,65,38.38
153,01-01-2025 02:32,cow_5,walking,0,0.691,1.117,0.322,-0.59,4,-2.82,72,37.88
154,01-01-2025 02:33,cow_1,resting,0,-0.145,-0.018,0.636,7.12,-5.68,-4.78,72,36.99
155,01-01-2025 02:34,cow_19,ruminating,0,0.042,0.027,0.949,10.23,1.81,-7.72,64,38.91
156,01-01-2025 02:35,cow_10,grazing,0,-0.5,-0.033,1.146,-4.47,9.91,-7,66,37.81
157,01-01-2025 02:36,cow_12,grazing,0,-0.244,-0.039,1.075,3.4,1.13,-7.43,76,38.3
158,01-01-2025 02:37,cow_15,grazing,0,0.604,0.248,1.325,7.16,8.42,0.94,63,38.49
159,01-01-2025 02:38,cow_9,ruminating,0,0.327,-0.14,0.973,3.94,11.21,0.07,62,38.67
160,01-01-2025 02:39,cow_20,grazing,0,0.21,0.31,1.335,-1.31,-1.31,3.21,62,38.87
161,01-01-2025 02:40,cow_17,ruminating,0,0.011,0.317,0.817,4.45,1.94,-1.91,60,37.84
162,01-01-2025 02:41,cow_17,grazing,0,0.049,-0.193,1.082,6.59,4.46,-2,68,38.14
163,01-01-2025 02:42,cow_20,resting,0,0.129,-0.239,0.723,8.37,-1.63,12.92,60,37.76
164,01-01-2025 02:43,cow_12,grazing,0,-0.377,0.374,0.872,1.46,-2.04,-1.16,73,39.89
165,01-01-2025 02:44,cow_7,ruminating,0,0.103,0.227,0.937,5.58,-3.58,5.59,60,38.14
166,01-01-2025 02:45,cow_2,grazing,0,-0.01,-0.259,0.978,8.77,1.56,2.66,62,39.36
167,01-01-2025 02:46,cow_3,ruminating,0,0.151,0.206,0.972,-0.72,8.23,-4.52,72,39.81
168,01-01-2025 02:47,cow_17,resting,0,0.161,0.192,1.035,0.53,2.32,-5.84,56,37.99
169,01-01-2025 02:48,cow_5,grazing,0,0.041,-0.331,0.927,-1.18,-4.39,11.1,64,37.83
170,01-01-2025 02:49,cow_17,grazing,0,0.188,0.151,0.935,-0.77,-4.47,-12.75,70,37.94
171,01-01-2025 02:50,cow_17,resting,0,-0.351,0.065,0.826,-0.54,-10.54,3.67,63,38.56
172,01-01-2025 02:51,cow_17,grazing,0,0.265,-0.116,1.052,5.65,2.23,-9.44,72,37.26
173,01-01-2025 02:52,cow_2,grazing,0,0.111,0.478,1.152,4.98,-4.09,4.67,75,38.64
174,01-01-2025 02:53,cow_2,resting,0,0.124,0.196,1.149,-3.5,-1.97,-4.47,77,38.6
175,01-01-2025 02:54,cow_5,grazing,0,0.143,0.294,1.116,4.1,6.44,0.86,76,38.67
176,01-01-2025 02:55,cow_1,ruminating,0,0.176,-0.028,1.354,-0.57,-1.93,-0.37,80,38.33
177,01-01-2025 02:56,cow_1,grazing,0,0.198,0.662,1.28,8.03,12.49,7.97,72,37.88
178,01-01-2025 02:57,cow_19,drinking,0,-0.235,0.092,0.915,0.1,2.28,-3.6,75,38.57
179,01-01-2025 02:58,cow_2,resting,0,-0.022,0.057,0.795,-1.65,-9.89,5.9,68,39.01
180,01-01-2025 02:59,cow_12,walking,0,0.802,0.04,0.971,3.91,4.73,-12.84,78,38.28
181,01-01-2025 03:00,cow_6,resting,0,0.036,-0.072,1.32,0.16,-3.63,-6.08,68,38.51
182,01-01-2025 03:01,cow_4,resting,0,0.162,-0.052,0.957,-9.59,3.57,-4,68,37.66
183,01-01-2025 03:02,cow_11,ruminating,0,-0.083,0.242,0.692,2.5,-1.12,6.83,67,38.38
184,01-01-2025 03:03,cow_17,drinking,0,0.327,0.011,1.355,5.68,0.23,0.52,67,37.82
185,01-01-2025 03:04,cow_6,walking,0,0.564,0.361,0.968,1.38,0.84,-4.77,71,38.12
186,01-01-2025 03:05,cow_5,grazing,0,-0.464,-0.027,1.108,-0.78,4.78,-4.95,58,39.2
187,01-01-2025 03:06,cow_20,grazing,0,0.107,0.341,1.135,-1.83,-2.25,1.94,61,38.13
188,01-01-2025 03:07,cow_2,ruminating,1,1.953,1.552,1.334,68.04,131.63,47.77,77,38.16
189,01-01-2025 03:08,cow_6,ruminating,0,-0.236,0.064,0.685,-6.7,-3.61,-0.23,57,38.81
190,01-01-2025 03:09,cow_11,grazing,0,0.158,-0.114,0.934,2.31,-2.61,-5.14,65,38.43
191,01-01-2025 03:10,cow_16,grazing,0,0.033,-0.123,1.124,-2.37,1.31,4.28,74,37.99
192,01-01-2025 03:11,cow_16,resting,0,0.141,-0.028,1.44,-1.06,5.84,-5.29,63,38.03
193,01-01-2025 03:12,cow_1,grazing,0,-0.17,0.094,1.159,-2.02,8.57,-1.3,73,39.16
194,01-01-2025 03:13,cow_9,resting,0,-0.477,-0.064,1.027,2.67,-1.69,-7.62,72,39.45
195,01-01-2025 03:14,cow_6,grazing,0,0.334,0.218,0.582,0.31,-1.38,4.91,81,38.4
196,01-01-2025 03:15,cow_16,grazing,0,-0.194,0.444,0.968,3.94,3.25,6.22,64,38.92
197,01-01-2025 03:16,cow_3,grazing,0,0.619,0.312,0.879,-6.12,-2.57,1.59,62,38.93
198,01-01-2025 03:17,cow_20,grazing,0,0.105,0.068,0.872,-2.21,3.13,-4.41,71,37.69
199,01-01-2025 03:18,cow_4,resting,0,-0.116,0.222,0.421,5.36,6.56,2.86,66,38.52
200,01-01-2025 03:19,cow_19,resting,0,0.032,0.23,0.864,6.24,0.48,3.43,66,38.6
201,01-01-2025 03:20,cow_3,resting,0,-0.483,-0.161,1.39,1.55,1.07,4.68,65,38.68
202,01-01-2025 03:21,cow_19,ruminating,0,0.088,0.363,1.133,-7.84,-2.11,-4.08,67,38
203,01-01-2025 03:22,cow_20,grazing,0,0.153,0.438,0.811,7.58,2.83,7.35,78,38.05
204,01-01-2025 03:23,cow_7,resting,0,0.181,-0.033,1.487,-3.42,0.15,-9.41,57,39
205,01-01-2025 03:24,cow_20,grazing,0,0.074,0.127,1.124,10.88,1.88,0.57,78,38.73
206,01-01-2025 03:25,cow_9,ruminating,0,0.018,0.036,1.089,2.12,1.73,4.26,79,37.9
207,01-01-2025 03:26,cow_1,grazing,0,-0.274,0.323,0.642,7.43,3.09,4.46,71,38.26
208,01-01-2025 03:27,cow_8,ruminating,0,0.099,0.419,1.069,0.49,-2.14,-0.64,80,38.27
209,01-01-2025 03:28,cow_7,resting,0,-0.008,0.001,0.391,-2.52,-4.97,0.76,52,38.27
210,01-01-2025 03:29,cow_18,grazing,0,-0.062,0.082,0.806,5.91,-5.77,2.98,72,38.95
211,01-01-2025 03:30,cow_8,resting,0,-0.207,0.278,1.223,-9.88,-3.21,2.43,65,38.62
212,01-01-2025 03:31,cow_1,walking,0,0.762,0.096,0.293,-7.23,2.25,5.44,71,39.23
213,01-01-2025 03:32,cow_11,resting,0,-0.065,0.166,0.98,1.23,0.19,0.58,53,38.57
214,01-01-2025 03:33,cow_18,ruminating,0,-0.376,0.273,0.871,-1.1,-5.2,-4.82,69,38.64
215,01-01-2025 03:34,cow_10,resting,0,-0.045,0.14,1.253,-1.54,0.15,2.7,62,38.82
216,01-01-2025 03:35,cow_3,resting,1,2.455,2.757,0.655,98.94,81.53,37.4,72,37.97
217,01-01-2025 03:36,cow_7,grazing,0,0.305,-0.08,0.712,-9.17,8.53,-4.21,75,38.15
218,01-01-2025 03:37,cow_16,grazing,0,-0.09,-0.231,1.1,4.7,-1.68,-5.72,65,37.7
219,01-01-2025 03:38,cow_16,grazing,0,0.146,0.231,1.003,-1.28,1.12,1.47,70,38.16
220,01-01-2025 03:39,cow_20,grazing,0,0.255,-0.278,1.492,-4.52,0.01,-8.5,84,37.97
221,01-01-2025 03:40,cow_17,grazing,0,0.49,0.175,1.015,4.36,8.48,-2.23,59,38.48
222,01-01-2025 03:41,cow_2,ruminating,0,0.081,0.129,0.762,3.82,5.53,1.46,63,39.35
223,01-01-2025 03:42,cow_1,drinking,0,-0.158,-0.27,1.472,7.43,-3.71,-5.76,58,38.48
224,01-01-2025 03:43,cow_16,ruminating,0,-0.311,0.298,1.62,9.23,-1.75,5.04,75,38.66
225,01-01-2025 03:44,cow_12,walking,0,1.076,0.066,0.886,-4.37,-8.71,-1.04,70,38.66
226,01-01-2025 03:45,cow_5,ruminating,0,-0.49,0.031,1.45,0.5,5.93,-10.85,79,38.3
227,01-01-2025 03:46,cow_5,resting,0,-0.004,-0.026,0.723,5.95,-4.56,-4.58,71,38.68
228,01-01-2025 03:47,cow_9,resting,1,3.301,2.337,1.631,135.45,109.82,71,76,38.9
229,01-01-2025 03:48,cow_9,grazing,0,-0.091,0.105,1.424,-1.56,0.98,3.54,57,38.39
230,01-01-2025 03:49,cow_3,ruminating,0,-0.223,0.255,1.403,5.88,-5.69,9.91,68,38.97
231,01-01-2025 03:50,cow_19,walking,0,0.477,0.608,1.266,1.39,-3.85,7.5,58,38.63
232,01-01-2025 03:51,cow_16,walking,0,0.362,0.011,0.818,-5.52,-4.11,-3.76,76,39.2
233,01-01-2025 03:52,cow_16,resting,0,-0.023,0.184,0.878,-2.02,1.56,7.6,63,37.37
234,01-01-2025 03:53,cow_3,ruminating,0,0.085,-0.022,1.073,-2.02,8.82,-0.12,79,38.32
235,01-01-2025 03:54,cow_20,ruminating,0,0.114,0.217,0.842,-1.09,1.66,-6.12,62,37.88
236,01-01-2025 03:55,cow_1,ruminating,0,0.222,0.098,1.086,-1.14,1.19,-1.52,71,37.57
237,01-01-2025 03:56,cow_20,resting,0,-0.316,-0.006,1.198,1.54,-2.76,2.59,68,38.67
238,01-01-2025 03:57,cow_11,grazing,0,0.282,0.118,1.107,7.82,0.46,-3.55,67,38.01
239,01-01-2025 03:58,cow_17,grazing,0,0.432,-0.266,1.095,2.37,0.59,-0.9,62,38.42
240,01-01-2025 03:59,cow_8,ruminating,0,0.169,-0.095,1.112,-0.71,3.92,2.19,68,38.73
241,01-01-2025 04:00,cow_4,ruminating,0,-0.226,-0.129,0.705,-3.22,2.97,-3.01,63,38.42
242,01-01-2025 04:01,cow_6,walking,0,0.015,-0.182,0.929,2.37,0.8,5.18,69,39.56
243,01-01-2025 04:02,cow_8,resting,0,0.059,-0.07,1.234,1.43,-2,-0.25,59,37.86
244,01-01-2025 04:03,cow_20,resting,0,0.129,0.002,0.855,6.53,-0.79,2.21,77,38.54
245,01-01-2025 04:04,cow_3,resting,0,0.235,0.131,1.08,-2.97,3.61,-3.07,76,38.14
246,01-01-2025 04:05,cow_16,grazing,0,0.109,0.26,1.097,-1.35,-0.57,-4.61,68,38.3
247,01-01-2025 04:06,cow_3,walking,0,0.754,0.617,1.017,0.07,-0.33,1.7,64,38.75
